Year,Round,Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,Amateur Lg.,NHL,GP,G,A,PTS,+/-,PIM
1993,2,46,Vancouver Canucks,Rick Girard,CA,,,,Swift Current,WHL,,,,,,,
1994,2,46,Dallas Stars,Lee Jinman,CA,,,,North Bay,OHL,,,,,,,
1995,2,46,Calgary Flames,Pavel Smirnov,RU,,,,Moscow,KHL,,,,,,,
1996,2,46,Chicago Blackhawks,Geoff Peters,CA,,,,Niagara Falls,OHL,,,,,,,
1997,2,46,New York Rangers,Wes Jarvis,CA,,,,Kitchener,OHL,,,,,,,
1998,2,46,Los Angeles Kings,Justin Papineau\papinju01,CA,C,18,2004,Belleville,OHL,x,81,11,8,19,2,12
1999,2,46,Chicago Blackhawks,Dimitri Levinski,KZ,,,,Cherepovets,KHL,,,,,,,
2000,2,46,Calgary Flames,Jarret Stoll\stollja01,CA,C,18,2016,Kootenay,WHL,x,872,144,244,388,2,618
2001,2,46,Carolina Hurricanes,Mike Zigomanis\zigommi01,CA,C,20,2011,Kingston,OHL,x,197,21,19,40,-21,89
2002,2,46,Phoenix Coyotes,David LeNeveu\lenevda01,CA,G,19,2011,Cornell,ECAC,x,22,0,0,0,0,0
2003,2,46,Columbus Blue Jackets,Dan Fritsche\fritsda01,US,C,18,2009,Sarnia,OHL,x,256,34,42,76,-19,103
2004,2,46,Columbus Blue Jackets,Adam Pineault\pineaad01,US,RW,18,2008,Boston College,H-East,x,3,0,0,0,-2,0
2005,2,46,New York Islanders,Dustin Kohn\kohndu01,CA,D,18,2010,Calgary,WHL,x,22,0,4,4,-2,4
1993,2,47,Montreal Canadiens,Rory Fitzpatrick\fitzpro02,US,D,18,2008,Sudbury,OHL,x,287,10,25,35,-48,201
1994,2,47,Boston Bruins,Daniel Goneau\goneada01,CA,LW,18,2000,Laval,QMJHL,x,53,12,3,15,-10,14
1995,2,47,Boston Bruins,Paxton Schafer\schafpa01,CA,G,19,1997,Medicine Hat,WHL,x,3,0,0,0,0,0
1996,2,47,New Jersey Devils,Pierre Dagenais\dagenpi01,CA,RW,18,2006,Moncton,QMJHL,x,142,35,23,58,0,58
1997,2,47,Florida Panthers,Kristian Huselius\huselkr01,SE,LW,18,2012,Farjestad,Sweden,x,662,190,261,451,-16,256
1998,2,47,Buffalo Sabres,Norm Milley\milleno01,CA,RW,18,2006,Laval,QMJHL,x,29,2,4,6,-4,12
1999,2,47,Tampa Bay Lightning,Sheldon Keefe\keefesh01,CA,RW,18,2003,Barrie,OHL,x,125,12,12,24,-25,78
2000,2,47,Colorado Avalanche,Jared Aulin\aulinja01,CA,C,18,2003,Kamloops,WHL,x,17,2,2,4,-3,0
2001,2,47,Tampa Bay Lightning,Alexander Polushin,RU,C,18,,Tver,Russia-2,,,,,,,
2002,2,47,Ottawa Senators,Alexei Kaigorodov\kaigoal01,SU,C,19,2007,Magnitogorsk,KHL,x,6,0,1,1,1,0
2003,2,47,San Jose Sharks,Matt Carle\carlema01,US,D,18,2017,River City,USHL,x,730,45,238,283,82,251
2004,2,47,New York Islanders,Blake Comeau\comeabl01,CA,RW,18,2020,Kelowna,WHL,x,852,136,183,319,-82,532
2005,2,47,Colorado Avalanche,Tom Fritsche,US,LW,18,,Ohio State,CCHA,,,,,,,
1993,2,48,Detroit Red Wings,Jon Coleman,US,,,,Andover,High-MA,,,,,,,
1994,2,48,Toronto Maple Leafs,Sean Haggerty\haggese01,US,LW,18,2001,Detroit,OHL,x,14,1,2,3,1,4
1995,2,48,Philadelphia Flyers,Shane Kenny,CA,,,,Owen Sound,OHL,,,,,,,
1996,2,48,New York Rangers,Daniel Goneau\goneada01,CA,LW,20,2000,Granby,QMJHL,x,53,12,3,15,-10,14
1997,2,48,Buffalo Sabres,Henrik Tallinder\tallihe01,SE,D,18,2014,AIK Solna,Sweden,x,678,28,114,142,8,378
1998,2,48,Boston Bruins,Jonathan Girard\girarjo01,CA,D,18,2003,Laval,QMJHL,x,150,10,34,44,6,46
1999,2,48,Ottawa Senators,Simon Lajeunesse\lajeusi01,CA,G,18,2002,Moncton,QMJHL,x,1,0,0,0,0,0
2000,2,48,Buffalo Sabres,Gerard Dicaire,YU,D,18,,Seattle,WHL,,,,,,,
2001,2,48,New Jersey Devils,Tuomas Pihlman\pihlmtu01,FI,LW,18,2007,JyP HT Jyvaskyla,Finland,x,15,1,1,2,-1,12
2002,2,48,St. Louis Blues,Alexei Shkotov,RU,RW,18,,Elektrostal Jr.,Russia-3,,,,,,,
2003,2,48,New York Islanders,Dmitri Chernykh,RU,RW,18,,Voskresensk,Russia-2,,,,,,,
2004,2,48,New York Rangers,Dane Byers\byersda01,CA,LW,18,2012,Prince Albert,WHL,x,14,1,0,1,0,60
2005,2,48,Buffalo Sabres,Philip Gogulla,DE,RW,18,,Koln,Germany,,,,,,,
1993,2,49,Quebec Nordiques,Ashley Buckberger,CA,,,,Swift Current,WHL,,,,,,,
1994,2,49,Detroit Red Wings,Mathieu Dandenault\dandema01,CA,D,18,2009,Sherbrooke,QMJHL,x,868,68,135,203,42,516
1995,2,49,St. Louis Blues,Jochen Hecht\hechtjo01,DE,LW,18,2013,Mannheim,Germany,x,833,186,277,463,100,458
1996,2,49,New Jersey Devils,Colin White\whiteco01,CA,D,18,2012,Hull,QMJHL,x,797,21,108,129,74,869
1997,2,49,Detroit Red Wings,Yuri Butsayev\butsayu01,SU,LW,18,2003,Lada Togliatti,KHL,x,99,10,4,14,-13,28
1998,2,49,Washington Capitals,Jomar Cruz,CA,,,,Brandon,WHL,,,,,,,
1999,2,49,Carolina Hurricanes,Brett Lysak\lysakbr01,CA,C,18,2004,Regina,WHL,x,2,0,0,0,0,2
2000,2,49,Chicago Blackhawks,Jonas Nordqvist\nordqjo01,SE,C,18,2007,Leksand,Sweden,x,3,0,2,2,1,2
2001,2,49,Los Angeles Kings,Mike Cammalleri\cammami01,CA,C,19,2018,Michigan,CCHA,x,906,294,348,642,-54,425
2002,2,49,Vancouver Canucks,Kirill Koltsov,RU,D,19,,Avangard Omsk,KHL,,,,,,,
2003,2,49,Nashville Predators,Shea Weber\webersh01,CA,D,18,2020,Kelowna,WHL,x,990,218,352,570,83,681
2004,2,49,St. Louis Blues,Carl Soderberg\soderca01,SE,C,18,2020,Malmo,Sweden,x,552,103,177,280,-20,192
2005,2,49,Atlanta Thrashers,Chad Denny,CA,D,18,,Lewiston,QMJHL,,,,,,,
1993,2,50,Chicago Blackhawks,Eric Manlow\manloer01,CA,C,18,2004,Kitchener,OHL,x,37,2,4,6,0,8
1994,2,50,Pittsburgh Penguins,Richard Park\parkri01,KR,RW,18,2012,Belleville,OHL,x,738,102,139,241,-30,266
1995,2,50,Los Angeles Kings,Pavel Rosa\rosapa01,CS,RW,18,2004,Chemopetrol Litvinov,Russia,x,36,5,13,18,-1,6
1996,2,50,Toronto Maple Leafs,Francis Larivee,CA,,,,Laval,QMJHL,,,,,,,
1997,2,50,Philadelphia Flyers,Pat Kavanagh\kavanpa01,CA,RW,18,2006,Peterborough,OHL,x,14,2,0,2,0,4
1998,2,50,Buffalo Sabres,Jaroslav Kristek\kristja01,CS,RW,18,2003,ZPS Zlin,Czech,x,6,0,0,0,-2,4
1999,2,50,New Jersey Devils,Brett Clouthier,CA,,,,Kingston,OHL,,,,,,,
2000,2,50,Colorado Avalanche,Sergei Soin,RU,,,,Krylja Sovetov,Russia,,,,,,,
2001,2,50,Buffalo Sabres,Chris Thorburn\thorbch01,CA,RW,18,2019,North Bay,OHL,x,801,53,81,134,-40,968
2002,2,50,Los Angeles Kings,Sergei Anshakov,RU,LW,18,,CSKA Moscow,Russia,,,,,,,
2003,2,50,New York Rangers,Ivan Baranka\baraniv01,CS,D,18,2008,Dubnica Jr.,Slovak-Jr.,x,1,0,1,1,1,0
2004,2,50,Phoenix Coyotes,Enver Lisin\lisinen01,SU,RW,18,2010,Saratov,Russia-2,x,135,24,18,42,-37,64
2005,2,50,Los Angeles Kings,Dany Roussin,CA,C,20,,Rimouski,QMJHL,,,,,,,
1993,2,51,Boston Bruins,Matt Alvey,US,,,,Springfield Olympics,,,,,,,,
1994,2,51,New Jersey Devils,Patrik Elias\eliaspa01,CS,LW,18,2016,Kladno,Czech-2,x,1240,408,617,1025,172,549
1995,2,51,Colorado Avalanche,Nic Beaudoin,CA,,,,Detroit,OHL,,,,,,,
1996,2,51,Colorado Avalanche,Yuri Babenko\babenyu01,SU,C,18,2001,Krylja Sovetov,Russia,x,3,0,0,0,0,0
1997,2,51,Calgary Flames,Dmitri Kokorev,RU,,,,Dynamo-2 Moscow,Russia,,,,,,,
1998,2,51,Philadelphia Flyers,Ian Forbes,CA,,,,Guelph,OHL,,,,,,,
1999,2,51,Pittsburgh Penguins,Matt Murley\murlema01,US,LW,19,2008,RPI,ECAC,x,62,2,7,9,-14,38
2000,2,51,Toronto Maple Leafs,Kris Vernarsky\vernakr01,US,C,18,2004,Plymouth,OHL,x,17,1,0,1,-3,2
2001,2,51,Los Angeles Kings,Jaroslav Bednar\bednaja01,CS,RW,24,2004,HIFK Helsinki,Finland,x,102,10,25,35,-1,30
2002,2,51,New Jersey Devils,Anton Kadeykin,RU,D,18,,Elektrostal,Russia-2,,,,,,,
2003,2,51,Edmonton Oilers,Colin McDonald\mcdonco01,US,RW,18,2017,New England,EJHL,x,148,20,26,46,-24,73
2004,2,51,New York Rangers,Bruce Graham,CA,C,18,,Moncton,QMJHL,,,,,,,
2005,2,51,Vancouver Canucks,Mason Raymond\raymoma01,CA,LW,19,2017,Camrose,AJHL,x,546,115,136,251,-2,156
1993,2,52,Pittsburgh Penguins,Domenic Pittis\pittido01,CA,C,18,2004,Lethbridge,WHL,x,86,5,11,16,-8,71
1994,2,52,New York Rangers,Rudolf Vercik,SK,,,,Slovan Bratislava,KHL,,,,,,,
1995,2,52,Detroit Red Wings,Philippe Audet\audetph01,CA,LW,18,1999,Granby,QMJHL,x,4,0,0,0,-2,0
1996,2,52,Detroit Red Wings,Aren Miller,CA,,,,Spokane,WHL,,,,,,,
1997,2,52,Dallas Stars,Roman Lyashenko\lyashro01,SU,C,18,2003,Torpedo Yaroslavl,KHL,x,139,14,9,23,-7,55
1998,2,52,Boston Bruins,Bobby Allen\allenbo01,US,D,19,2008,Boston College,H-East,x,51,0,3,3,-3,12
1999,2,52,Nashville Predators,Adam Hall\hallad01,US,RW,19,2014,Michigan State,CCHA,x,682,69,87,156,-76,282
2000,2,52,Pittsburgh Penguins,Shane Endicott\endicsh01,CA,C,18,2006,Seattle,WHL,x,45,1,2,3,-10,47
2001,2,52,Edmonton Oilers,Ed Caron,US,C,19,,Exeter,High-NH,,,,,,,
2002,2,52,San Jose Sharks,Dan Spang,US,D,19,,Winchester,High-MA,,,,,,,
2003,2,52,Chicago Blackhawks,Corey Crawford\crawfco01,CA,G,18,2020,Moncton,QMJHL,x,488,0,9,9,0,18
2004,2,52,Dallas Stars,Raymond Sawada\sawadra01,CA,RW,19,2011,Nanaimo,BCHL,x,11,1,0,1,-1,0
2005,2,52,Colorado Avalanche,Chris Durand,CA,C,18,,Seattle,WHL,,,,,,,
1997,2,53,Colorado Avalanche,Graham Belak,CA,,,,Edmonton,WHL,,,,,,,
1998,2,53,Colorado Avalanche,Steve Moore\moorest01,CA,C,19,2004,Harvard,ECAC,x,69,5,7,12,-9,41
1999,2,53,Phoenix Coyotes,Brad Ralph\ralphbr01,CA,LW,18,2001,Oshawa,OHL,x,1,0,0,0,0,0
2000,2,53,Phoenix Coyotes,Alexander Tatarinov,RU,,,,Torpedo Yaroslavl 2,Russia-2,,,,,,,
2001,2,53,Columbus Blue Jackets,Kiel McLeod,CA,C,18,,Kelowna,WHL,,,,,,,
2002,2,53,New Jersey Devils,Barry Tallackson\tallaba01,US,RW,19,2009,Minnesota,WCHA,x,20,1,1,2,-4,2
2003,2,53,New York Islanders,Evgeny Tunik,RU,C,18,,Elektrostal,Russia-2,,,,,,,
2004,2,53,Florida Panthers,David Booth\boothda01,US,LW,19,2018,Michigan State,CCHA,x,530,124,112,236,-31,216
2005,2,53,Atlanta Thrashers,Andrew Kozek,CA,LW,19,,South Surrey,BCHL,,,,,,,
1993,3,53,Ottawa Senators,Patrick Charbonneau,CA,,,,Victoriaville,QMJHL,,,,,,,
1994,3,53,Edmonton Oilers,Corey Neilson,CA,,,,North Bay,OHL,,,,,,,
1995,3,53,Ottawa Senators,Brad Larsen\larsebr01,CA,LW,18,2008,Swift Current,WHL,x,294,19,29,48,-23,134
1996,3,53,Boston Bruins,Eric Naud,CA,,,,St. Hyacinthe,QMJHL,,,,,,,
1998,2,54,Pittsburgh Penguins,Alexander Zevakhin,RU,,,,CSKA Moscow,Russia,,,,,,,
1999,2,54,Nashville Predators,Andrew Hutchinson\hutchan01,US,D,19,2011,Michigan State,CCHA,x,140,12,27,39,-13,70
2000,2,54,Los Angeles Kings,Andreas Lilja\liljaan01,SE,D,25,2013,Malmo,Sweden,x,580,16,71,87,32,563
2001,2,54,Pittsburgh Penguins,Noah Welch\welchno01,US,D,19,2011,St. Sebastian's,High-MA,x,75,4,5,9,-5,58
2002,2,54,Chicago Blackhawks,Duncan Keith\keithdu01,CA,D,19,2020,Michigan State,CCHA,x,1138,101,509,610,157,623
2003,2,54,Dallas Stars,B.J. Crombeen\crombbj01,US,RW,18,2015,Barrie,OHL,x,445,34,46,80,-37,850
2004,2,54,Chicago Blackhawks,Jakub Sindel,CZ,C,18,,Sparta Praha,Czech,,,,,,,
2005,2,54,Chicago Blackhawks,Dan Bertram,CA,RW,18,,Boston College,H-East,,,,,,,
1993,3,54,Chicago Blackhawks,Bogdan Savenko,UA,,,,Kiev,Russia,,,,,,,
1994,3,54,Montreal Canadiens,Chris Murray\murrach01,CA,RW,19,2000,Kamloops,WHL,x,242,16,18,34,-8,550
1995,3,54,Toronto Maple Leafs,Ryan Pepperall,CA,,,,Kitchener,OHL,,,,,,,
1996,3,54,Buffalo Sabres,Francois Methot,CA,,,,St. Hyacinthe,QMJHL,,,,,,,
1997,3,54,Boston Bruins,Mattias Karlin,SE,,,,MoDo Ornskoldsvik,Sweden,,,,,,,
1998,2,55,Detroit Red Wings,Ryan Barnes\barnery01,CA,LW,18,2004,Sudbury,OHL,x,2,0,0,0,0,0
1999,2,55,Buffalo Sabres,Doug Janik\janikdo01,US,D,19,2012,U. of Maine,H-East,x,190,3,16,19,-19,154
2000,2,55,Ottawa Senators,Antoine Vermette\vermean01,CA,C,18,2018,Victoriaville,QMJHL,x,1046,228,287,515,-49,622
2001,2,55,Buffalo Sabres,Jason Pominville\pominja01,CA,RW,18,2019,Shawinigan,QMJHL,x,1060,293,434,727,44,199
2002,2,55,Vancouver Canucks,Denis Grot,BY,D,18,,Elektrostal,Russia-2,,,,,,,
2003,2,55,Florida Panthers,Stefan Meyer\meyerst01,CA,LW,18,2011,Medicine Hat,WHL,x,20,0,2,2,-1,17
2004,2,55,Colorado Avalanche,Victor Oreskovich\oreskvi01,CA,RW,18,2012,Green Bay,USHL,x,67,2,7,9,-7,41
2005,2,55,Columbus Blue Jackets,Adam McQuaid\mcquaad01,CA,D,18,2019,Sudbury,OHL,x,512,16,57,73,62,694
1993,3,55,Tampa Bay Lightning,Allan Egeland\egelaal01,CA,C,20,1998,Tacoma,WHL,x,17,0,0,0,-3,16
1994,3,55,Tampa Bay Lightning,Vadim Epanchintsev,RU,,,,Spartak Moscow,KHL,,,,,,,
1995,3,55,Anaheim Ducks,Mike Leclerc\leclemi01,CA,LW,18,2006,Brandon,WHL,x,341,64,94,158,-43,288
1996,3,55,San Jose Sharks,Terry Friesen,CA,,,,Swift Current,WHL,,,,,,,
1997,3,55,Colorado Avalanche,Rick Berry\berryri01,CA,D,18,2004,Seattle,WHL,x,197,2,13,15,-6,314
1998,2,56,Detroit Red Wings,Tomek Valtonen,PL,,,,Ilves Tampere Jr.,Finland-Jr.,,,,,,,
1999,2,56,Boston Bruins,Matt Zultek,CA,,,,Ottawa,OHL,,,,,,,
2000,2,56,New Jersey Devils,Alexander Suglobov\sugloal01,SU,RW,18,2007,Torpedo Yaroslavl 2,Russia-2,x,18,1,0,1,-9,4
2001,2,56,Calgary Flames,Andrei Medvedev,RU,G,18,,Spartak Moscow,KHL,,,,,,,
2002,2,56,Boston Bruins,Vladislav Yevseyev,RU,LW,18,,CSKA Moscow,Russia,,,,,,,
2003,2,56,Minnesota Wild,Patrick O'Sullivan\osullpa01,CA,C,18,2012,Mississauga,OHL,x,334,58,103,161,-61,116
2004,2,56,Dallas Stars,Nicklas Grossmann\grossni01,SE,D,19,2017,Sodertalje Jr.,Sweden-Jr.,x,592,13,73,86,4,314
2005,2,56,New York Rangers,Marc-Andre Cliche\clichma01,CA,C,18,2015,Lewiston,QMJHL,x,151,3,11,14,-12,34
1993,3,56,Anaheim Ducks,Valeri Karpov\karpova01,SU,RW,22,1997,Traktor Chelyabinsk,KHL,x,76,14,15,29,-7,32
1994,3,56,Winnipeg Jets,Dorian Anneck,CA,,,,Victoria,WHL,,,,,,,
1995,3,56,Tampa Bay Lightning,Shane Willis\willish01,CA,RW,18,2004,Prince Albert,WHL,x,174,31,43,74,-16,77
1996,3,56,New York Islanders,Zdeno Chara\charazd01,CS,D,19,2020,Dukla Trencin,Slovakia,x,1553,205,451,656,288,1956
1997,3,56,Florida Panthers,Vratislav Cech,CZ,,,,Kitchener,OHL,,,,,,,
1998,2,57,Dallas Stars,Tyler Bouck\bouckty01,CA,C,18,2007,Prince George,WHL,x,91,4,8,12,-9,93
1999,2,57,Pittsburgh Penguins,Jeremy Van Hoof,CA,D,18,,Ottawa,OHL,,,,,,,
2000,2,57,New Jersey Devils,Matt DeMarchi,US,,,,Minnesota,WCHA,,,,,,,
2001,2,57,St. Louis Blues,Jay McClement\mccleja01,CA,C,18,2017,Brampton,OHL,x,906,90,154,244,-116,325
2002,2,57,Toronto Maple Leafs,Matt Stajan\stajama01,CA,C,18,2018,Belleville,OHL,x,1003,146,267,413,-3,526
2003,2,57,Toronto Maple Leafs,John Doherty,US,D,19,,Andover,High-MA,,,,,,,
2004,2,57,Edmonton Oilers,Geoff Paukovich,US,LW,18,,U.S. National U-18,USNTDP,,,,,,,
2005,2,57,Minnesota Wild,Matt Kassian\kassima01,CA,LW,18,2014,Kamloops,WHL,x,76,4,1,5,-4,177
1993,3,57,Florida Panthers,Chris Armstrong\armstch01,CA,D,18,2004,Moose Jaw,WHL,x,7,0,1,1,-4,0
1994,3,57,Pittsburgh Penguins,Sven Butenschon\butensv01,DE,D,18,2006,Brandon,WHL,x,140,2,12,14,-10,86
1995,3,57,Edmonton Oilers,Lukas Zib,CZ,,,,Ceske Budejovice,Czech-2,,,,,,,
1996,3,57,Los Angeles Kings,Greg Phillips,CA,,,,Saskatoon,WHL,,,,,,,
1997,3,57,Toronto Maple Leafs,Jeff Farkas\farkaje01,US,RW,19,2003,Boston College,H-East,x,11,0,2,2,-1,6
1998,2,58,Ottawa Senators,Chris Bala\balach01,US,LW,19,2002,Harvard,ECAC,x,6,0,1,1,1,0
1999,2,58,Montreal Canadiens,Matt Carkner\carknma01,CA,D,18,2014,Peterborough,OHL,x,237,4,23,27,-12,556
2000,2,58,Florida Panthers,Vladimir Sapozhnikov,RU,,,,Novokuznetsk,KHL,,,,,,,
2001,2,58,Washington Capitals,Nathan Paetsch\paetsna01,CA,D,18,2010,Moose Jaw,WHL,x,167,7,35,42,12,114
2002,2,58,Detroit Red Wings,Jiri Hudler\hudleji01,CS,RW,18,2017,Vsetin,Czech,x,708,164,264,428,40,243
2003,2,58,New York Islanders,Jeremy Colliton\collije01,CA,C,18,2011,Prince Albert,WHL,x,57,3,3,6,-12,26
2004,2,58,Ottawa Senators,Kirill Lyamin,RU,D,18,,CSKA Moscow,Russia,,,,,,,
2005,2,58,Carolina Hurricanes,Nate Hagemo,US,D,18,,Minnesota,WCHA,,,,,,,
1993,3,58,San Jose Sharks,Ville Peltonen\peltovi01,FI,LW,20,2009,HIFK Helsinki,Finland,x,382,52,96,148,-11,119
1994,3,58,Winnipeg Jets,Tavis Hansen\hanseta01,CA,RW,19,2001,Tacoma,WHL,x,34,2,1,3,-5,16
1995,3,58,Detroit Red Wings,Darryl Laplante\laplada01,CA,C,18,2000,Moose Jaw,WHL,x,35,0,6,6,-2,10
1996,3,58,Washington Capitals,Sergei Zimakov,RU,,,,Krylja Sovetov,Russia,,,,,,,
1997,3,58,Ottawa Senators,Jani Hurme\hurmeja01,FI,G,22,2003,TPS Turku,Finland,x,76,0,0,0,0,19
1999,2,59,New York Rangers,David Inman,US,,,,Notre Dame,CCHA,,,,,,,
2000,2,59,Boston Bruins,Ivan Huml\humliv01,CS,LW,19,2004,Langley,BCHL,x,49,6,12,18,2,36
2001,2,59,Chicago Blackhawks,Matt Keith\keithma01,CA,RW,18,2008,Spokane,WHL,x,27,2,3,5,-8,14
2002,2,59,Washington Capitals,Maxime Daigneault,CA,G,18,,Val d'Or,QMJHL,,,,,,,
2003,2,59,Chicago Blackhawks,Michal Barinka\barinmi01,CS,D,19,2006,Ceske Budejovice,Czech-2,x,34,0,2,2,-12,26
2004,2,59,Columbus Blue Jackets,Kyle Wharton,CA,D,18,,Ottawa,OHL,,,,,,,
2005,2,59,Phoenix Coyotes,Pier-Olivier Pelletier,CA,G,18,,Drummondville,QMJHL,,,,,,,
1993,3,59,Edmonton Oilers,Kevin Paden,US,,,,Detroit,OHL,,,,,,,
1994,3,59,Los Angeles Kings,Vitali Yachmenev\yachmvi01,SU,LW,19,2003,North Bay,OHL,x,487,83,133,216,-30,88
1995,3,59,Los Angeles Kings,Vladimir Tsyplakov\tsyplvl01,SU,LW,26,2001,Fort Wayne,IHL,x,331,69,101,170,42,90
1996,3,59,Edmonton Oilers,Tom Poti\potito01,US,D,19,2013,Cushing Academy,High-MA,x,824,69,258,327,44,586
1997,3,59,New York Islanders,Jarrett Smith,CA,,,,Prince George,WHL,,,,,,,
1998,3,59,Washington Capitals,Todd Hornung,CA,,,,Portland,WHL,,,,,,,
1999,2,60,Toronto Maple Leafs,Peter Reynolds,CA,D,18,,London,OHL,,,,,,,
2000,2,60,Dallas Stars,Dan Ellis\ellisda01,CA,G,20,2015,Omaha,USHL,x,212,0,6,6,0,6
2001,2,60,New Jersey Devils,Victor Uchevatov,RU,D,18,,Lokomotiv Yaroslavl 2,Russia-3,,,,,,,
